Issue Type,External ID,Epic Link,Summary,Description,Priority,Status,Labels,Components,Fix Version,Story Points
Epic,DED-E01,,DED-E01 Game rules engine (Phase 2),Pure-functional engine Phase 2.1-2.5 complete per system_state.md.,Low,Done,"done-legacy,role:dev",engine,v0.1-internal,
Story,DED-101,DED-E01,DED-101 Spatial path validation moveCharacter,Path contiguity adjacency graph pipsUsed EngineError codes. moveCharacter.spec.ts.,Low,Done,"done-legacy,role:dev",engine,v0.1-internal,5
Story,DED-102,DED-E01,DED-102 Trap auto-trigger and portrait cascade,evaluateTraps position-only. Portrait rotation on heir eliminated. trapEvaluator.spec.ts.,Low,Done,"done-legacy,role:dev",engine,v0.1-internal,5
Story,DED-103,DED-E01,DED-103 Card play discriminated unions playCard,PLAY_CARD payload variants. playCard dispatch. Card validation RFC 003.,Low,Done,"done-legacy,role:dev",engine,v0.1-internal,5
Story,DED-104,DED-E01,DED-104 Win conditions winCondition,HEIR_ESCAPED LAST_ALIVE DETECTIVE_ARRIVED. Portrait heir plus rooting card at K1. winCondition.spec.ts.,Low,Done,"done-legacy,role:dev",engine,v0.1-internal,5
Story,DED-105,DED-E01,DED-105 Turn orchestrator pipeline,processTurn pipeline order guards apply evaluate. turnOrchestrator.spec.ts.,Low,Done,"done-legacy,role:dev",engine,v0.1-internal,5
Story,DED-106,DED-E01,DED-106 BA Map FR-1 to FR-5 SRS to engine specs,Traceability in .context/srs.md to engine modules.,Low,Done,"done-legacy,role:ba",docs,v0.1-internal,3
Story,DED-107,DED-E01,DED-107 QA Engine regression suite Vitest,Engine spec files moveCharacter trapEvaluator winCondition turnOrchestrator.,Low,Done,"done-legacy,role:qa",engine,v0.1-internal,5
Story,DED-108,DED-E01,DED-108 TL Enforce pure engine and EngineError codes,No side effects in engine. EngineError SocketErrorCode only. RFC 001.,Low,Done,"done-legacy,role:tl",engine,v0.1-internal,3
Epic,DED-E02,,DED-E02 Network and persistence (Phase 3),Transport layer 3.1-3.8. Supabase schema game_rooms player_connections.,Low,Done,"done-legacy,role:dev",network,v0.1-internal,
Story,DED-201,DED-E02,DED-201 Per-player state masking broadcastPipeline,filterStateForPlayer masks hands and rooting. Owner sees full characterIds. broadcastPipeline.spec.ts.,Low,Done,"done-legacy,role:dev",network,v0.1-internal,5
Story,DED-202,DED-E02,DED-202 Idempotent event router,routePlayerEvent processedEventIds IDEMPOTENCY_CONFLICT. routePlayerEvent.spec.ts.,Low,Done,"done-legacy,role:dev",network,v0.1-internal,3
Story,DED-203,DED-E02,DED-203 Supabase game_rooms persistence,JSONB game_state room_code status ruleProfile enabledModules. room-persistence.service. RFC 004.,Low,Done,"done-legacy,role:dev",network,v0.1-internal,5
Story,DED-204,DED-E02,DED-204 Local multiplayer cross-tab sync,LocalMultiplayerClient localStorage LocalRoomStore. playMode local.,Low,Done,"done-legacy,role:dev",network,v0.1-internal,5
Story,DED-205,DED-E02,DED-205 BA Document G01 rooting visibility rules,G01: all rooting on characterIds visible on your HUD. Opponents masked. No 2p secret deal. play_modes masking.,Low,Done,"done-legacy,role:ba",docs,v0.1-internal,2
Story,DED-206,DED-E02,DED-206 QA Masking and idempotency specs,broadcastPipeline.secret routePlayerEvent sessionManager specs.,Low,Done,"done-legacy,role:qa",network,v0.1-internal,3
Story,DED-207,DED-E02,DED-207 TL RFC 004 persistence invariants,Sync write after action. Session wrapper idempotency not on GameState.,Low,Done,"done-legacy,role:tl",network,v0.1-internal,2
Epic,DED-E03,,DED-E03 Client gameplay UI (Phase 4),React client 4.1-4.11. 2D canvas and 3D R3F. HUD widgets FX.,Low,Done,"done-legacy,role:dev",client,v0.1-internal,
Story,DED-301,DED-E03,DED-301 2D canvas board and kinematics,GameBoard.ts kinematicsEngine pathfinding. GameBoard.spec.ts.,Low,Done,"done-legacy,role:dev",client,v0.1-internal,5
Story,DED-302,DED-E03,DED-302 3D GRID_21X15 scene R3F,Scene3D mansion furniture dining table traps. boardVersion GRID_21X15.,Low,Done,"done-legacy,role:dev",client,v0.1-internal,8
Story,DED-303,DED-E03,DED-303 HUD hand deck detective dice console,HandPanel DeckWidget DetectiveWidget DicePanel HUD3D estate console.,Low,Done,"done-legacy,role:dev",client,v0.1-internal,8
