Issue Type,External ID,Epic Link,Summary,Description,Priority,Status,Labels,Components,Fix Version,Story Points
Epic,DED-E01,,DED-E01 Game rules engine (Phase 2),Core engine complete. Stories in ded-jira-backlog-historical.csv.,Low,Done,"done-legacy,mvp-v1",engine,v0.1-internal,
Epic,DED-E02,,DED-E02 Network and persistence (Phase 3),Masking idempotency Supabase local multiplayer. Stories in historical CSV.,Low,Done,"done-legacy,mvp-v1",network,v0.1-internal,
Epic,DED-E03,,DED-E03 Client gameplay UI (Phase 4),2D 3D HUD FX lobby game over. Stories in historical CSV.,Low,Done,"done-legacy,mvp-v1",client,v0.1-internal,
Epic,DED-E04,,DED-E04 Solo bots and bot-ai service,BotOrchestrator legalActions Python decide. Stories in historical CSV.,Low,Done,"done-legacy,mvp-v1",bot-ai,v0.1-internal,
Epic,DED-E05,,DED-E05 Online transport Nest Colyseus (Phase 5),game-server Colyseus OnlineSession lobby REST. Stories in historical CSV.,Low,Done,"done-legacy,mvp-v1",network,v0.1-internal,
Epic,DED-E13,,DED-E13 RFC 007 rule profile and optional modules,Phases 1-5 G01 rooting LobbyRulesPanel SECRET_PASSAGES. Stories in historical CSV.,Low,Done,"done-legacy,rfc-007,mvp-v1",engine,v0.1-internal,
Epic,DED-E06,,DED-E06 Player UX polish (seats bots HUD),Complete. playerSeatLayout LobbyRulesPanel play_modes. Stories in historical CSV.,Medium,Done,mvp-v1,client,v1.0-mvp-beta,
Epic,DED-E07,,DED-E07 Auth and production security,Supabase JWT lobby REST Colyseus onAuth. AUTH_REQUIRED=true. MVP blocker.,Highest,To Do,"mvp-v1,role:tl",infra,v1.0-mvp-beta,
Epic,DED-E08,,DED-E08 Production deploy and operations,Docker runbook env matrix health checks staging prod. MVP blocker.,Highest,To Do,"mvp-v1,role:dev",infra,v1.0-mvp-beta,
Epic,DED-E09,,DED-E09 QA and release readiness,Test plans G01 rooting ADVANCED local UAT. MVP gate.,Highest,To Do,"mvp-v1,role:qa",client,v1.0-mvp-beta,
Epic,DED-E10,,DED-E10 BA requirements and rules traceability,G01 SRS traceability MVP scope doc. Ongoing.,High,In Progress,"mvp-v1,role:ba",docs,v1.0-mvp-beta,
Epic,DED-E11,,DED-E11 PM product legal and launch,MVP metrics IP legal beta invite UAT.,Highest,To Do,"mvp-v1,role:pm",docs,v1.0-mvp-beta,
